what,kind,bundleId,bundleVersion,description,time
started,bundle,org.topbraidcomposer.widgets,4.1.0.v20121228-2356R,"org.topbraidcomposer.widgets",1373377359336
started,bundle,org.topbraidcomposer.xsdcalendar,4.1.0.v20121228-2356R,"org.topbraidcomposer.xsdcalendar",1373377359336
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.2.2.I20110523-1700,"org.polarion.eclipse.team.svn.connector.svnkit16",1373377359336
os,sysinfo,,,"win32",1373377359340
arch,sysinfo,,,"x86_64",1373377359340
ws,sysinfo,,,"win32",1373377359340
locale,sysinfo,,,"en_US",1373377359340
processors,sysinfo,,,"4",1373377359365
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1373377359365
java.runtime.version,sysinfo,,,"1.6.0_26-b03",1373377359365
java.specification.name,sysinfo,,,"Java Platform API Specification",1373377359365
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1373377359365
java.specification.version,sysinfo,,,"1.6",1373377359365
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1373377359365
java.version,sysinfo,,,"1.6.0_26",1373377359365
java.vm.info,sysinfo,,,"mixed mode",1373377359365
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1373377359365
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1373377359365
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1373377359365
java.vm.specification.version,sysinfo,,,"1.0",1373377359365
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1373377359365
java.vm.version,sysinfo,,,"20.1-b02",1373377359365
started,bundle,org.topbraidcomposer.usagedata.ui,4.1.0.v20121228-2356R,"org.topbraidcomposer.usagedata.ui",1373377359407
starting,topbraid,org.topbraidcomposer.gef,4.1.0.v20121228-2356R,"",1373377359410
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373377396423
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373401484456
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373401484479
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373401487172
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1373401487319
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1373401487551
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1373401487558
stopped,bundle,org.topbraidcomposer.calais,4.1.0.v20121228-2356R,"org.topbraidcomposer.calais",1373401487715
stopped,bundle,org.topbraid.calais,4.1.0.v20121228-2356R,"org.topbraid.calais",1373401487715
